Year,City,Entries,Format
1979,Oakille,180,SC
1980,PtCl/Win,120/200,LC/LC
1991,Winnipeg,200,LC
1982,HallSask,300,SC/LC
1983,Dollard,483,SC
1984,Edmonton,400,LC
1985,Winnipeg,385,SC
1986,Halifax,400,SC
1987,Etobicoke,833,SC
1988,Vancouver,500,SC
1989,QuebecCity,835,SC
1990,Regina,426,SC
1991,Calgary,587,SC
1992,St. John.,473,SC
1993,Montreal,820,LC
1994,XX-Worlds in Montreal,NA,NA
1995,Victoria,750,SC
1996,winnipeg,350,LC
1997,Montreal,677,SC
1998,Edmonton,480,LC
1999,Nepean,856,SC
2000,Halifax,455,SC
2001,Calgary,654,SC
2002,Saskatoon,438,LC
2003,Montreal,1250,SC
2004,Edmonton,426,LC
2005,Etobicoke,936,SC
2006,Calgary,433,SC
2007,Winnipeg,423,SC
2008,Quebec,867,SC
2009,Etobicoke,934,SC
2010,Nanaimo,591,LC
2011,Montreal,1106,SC
2012,Kelowna,497,SC
2013,Nepean,857,SC
2014,Windsor,485,SC
2015,Montreal,718,SC
1026,Etobicoke,662,SC
2017,QuebecCity,666,SC
2018,Calgary,505,SC
2019,Montreal,750,SC
2020,<Canceled>,NA,NA
2021,<Canceled>,NA,NA
2022,Quebec,"444 (225 M, 219 W)",SC
2023,Calgary,"623 (314 M, 309 W)",SC
